,time,position
261,26.126126126126128,-3334.6148851554262
262,26.226226226226228,-3360.2932161390627
263,26.326326326326328,-3386.0697434170916
264,26.426426426426428,-3411.9444669895124
265,26.526526526526528,-3437.917386856326
266,26.626626626626628,-3463.988503017533
267,26.726726726726728,-3490.1578154731314
268,26.826826826826828,-3516.425324223123
269,26.926926926926928,-3542.791029267506
270,27.027027027027028,-3569.2549306062824
271,27.127127127127128,-3595.8170282394512
272,27.227227227227228,-3622.4773221670125
273,27.32732732732733,-3649.2358123889658
274,27.42742742742743,-3676.0924989053124
275,27.52752752752753,-3703.047381716051
276,27.62762762762763,-3730.1004608211824
277,27.72772772772773,-3757.251736220706
278,27.82782782782783,-3784.501207914622
279,27.92792792792793,-3811.8488759029306
280,28.02802802802803,-3839.294740185632
281,28.12812812812813,-3866.8388007627254
282,28.22822822822823,-3894.4810576342115
283,28.32832832832833,-3922.2215108000896
284,28.42842842842843,-3950.060160260361
285,28.52852852852853,-3977.9970060150245
286,28.62862862862863,-4006.0320480640803
287,28.72872872872873,-4034.165286407529
288,28.82882882882883,-4062.39672104537
289,28.92892892892893,-4090.7263519776034
290,29.02902902902903,-4119.15417920423
291,29.12912912912913,-4147.680202725248
292,29.22922922922923,-4176.304422540659
293,29.32932932932933,-4205.026838650462
294,29.42942942942943,-4233.847451054658
295,29.52952952952953,-4262.766259753247
296,29.62962962962963,-4291.783264746228
297,29.72972972972973,-4320.898466033602
298,29.82982982982983,-4350.111863615368
299,29.929929929929934,-4379.423457491526
300,30.030030030030034,-4408.833247662078
301,30.130130130130134,-4438.341234127021
302,30.230230230230234,-4467.947416886357
303,30.330330330330334,-4497.651795940085
304,30.430430430430434,-4527.454371288207
305,30.530530530530534,-4557.35514293072
306,30.630630630630634,-4587.354110867626
307,30.730730730730734,-4617.451275098924
308,30.830830830830834,-4647.646635624615
309,30.930930930930934,-4677.940192444698
310,31.031031031031034,-4708.331945559174
311,31.131131131131134,-4738.821894968042
312,31.231231231231234,-4769.410040671303
313,31.331331331331334,-4800.096382668957
314,31.431431431431434,-4830.880920961003
315,31.531531531531535,-4861.763655547441
316,31.631631631631635,-4892.744586428271
317,31.731731731731735,-4923.823713603495
318,31.831831831831835,-4955.001037073111
319,31.931931931931935,-4986.276556837119
320,32.032032032032035,-5017.650272895519
321,32.132132132132135,-5049.122185248313
322,32.232232232232235,-5080.692293895499
323,32.332332332332335,-5112.360598837077
324,32.432432432432435,-5144.127100073048
325,32.532532532532535,-5175.991797603411
326,32.632632632632635,-5207.954691428166
327,32.732732732732735,-5240.015781547314
328,32.832832832832835,-5272.175067960855
329,32.932932932932935,-5304.432550668788
330,33.033033033033036,-5336.788229671114
331,33.133133133133136,-5369.242104967831
332,33.233233233233236,-5401.794176558942
333,33.333333333333336,-5434.444444444446
334,33.433433433433436,-5467.192908624341
335,33.533533533533536,-5500.03956909863
336,33.633633633633636,-5532.984425867309
337,33.733733733733736,-5566.027478930383
338,33.833833833833836,-5599.168728287848
339,33.933933933933936,-5632.408173939706
340,34.034034034034036,-5665.745815885957
341,34.134134134134136,-5699.1816541266
342,34.234234234234236,-5732.715688661636
343,34.334334334334336,-5766.347919491064
344,34.434434434434436,-5800.078346614884
345,34.53453453453454,-5833.906970033097
346,34.63463463463464,-5867.833789745702
347,34.73473473473474,-5901.8588057527
348,34.83483483483484,-5935.982018054091
349,34.93493493493494,-5970.203426649874
350,35.03503503503504,-6004.5230315400495
351,35.13513513513514,-6038.940832724617
352,35.23523523523524,-6073.456830203578
353,35.33533533533534,-6108.0710239769305
354,35.43543543543544,-6142.783414044676
355,35.53553553553554,-6177.594000406814
356,35.63563563563564,-6212.502783063344
357,35.73573573573574,-6247.509762014267
358,35.83583583583584,-6282.614937259583
359,35.93593593593594,-6317.81830879929
360,36.03603603603604,-6353.119876633391
361,36.13613613613614,-6388.519640761883
362,36.23623623623624,-6424.017601184769
363,36.33633633633634,-6459.613757902047
364,36.43643643643644,-6495.308110913717
365,36.53653653653654,-6531.10066021978
366,36.63663663663664,-6566.991405820236
367,36.73673673673674,-6602.980347715084
368,36.83683683683684,-6639.067485904324
369,36.93693693693694,-6675.2528203879565
370,37.03703703703704,-6711.536351165982
371,37.13713713713714,-6747.918078238399
372,37.23723723723724,-6784.398001605209
373,37.33733733733734,-6820.9761212664125
374,37.43743743743744,-6857.652437222008
375,37.53753753753754,-6894.426949471996
376,37.63763763763764,-6931.299658016375
377,37.73773773773774,-6968.2705628551485
378,37.83783783783784,-7005.339663988313
379,37.93793793793794,-7042.506961415872
380,38.03803803803804,-7079.7724551378205
381,38.13813813813814,-7117.136145154164
382,38.23823823823824,-7154.5980314649
383,38.33833833833834,-7192.158114070026
384,38.43843843843844,-7229.8163929695465
385,38.53853853853854,-7267.572868163459
386,38.63863863863864,-7305.427539651765
387,38.73873873873874,-7343.380407434462
388,38.83883883883884,-7381.431471511552
389,38.93893893893894,-7419.580731883035
390,39.03903903903904,-7457.82818854891
391,39.13913913913914,-7496.173841509177
392,39.23923923923924,-7534.617690763837
393,39.33933933933934,-7573.15973631289
394,39.43943943943944,-7611.799978156335
395,39.53953953953954,-7650.538416294173
396,39.63963963963964,-7689.375050726403
397,39.73973973973974,-7728.309881453025
398,39.83983983983984,-7767.342908474041
399,39.93993993993994,-7806.474131789448
